"player_name","position"
"Nate Wolters","PG"
"Cole Aldrich","C"
"Nemanja Bjelica","PF"
"Gorgui Dieng","C"
"Kris Dunn","SF"
"Tyus Jones","SG"
"Zach LaVine","SG"
"Shabazz Muhammad","SG"
"Adreian Payne","PF"
"Ricky Rubio","PG"
"Brandon Rush","SG"
"Karl-Anthony Towns","C"
"Andrew Wiggins","SF"
"Alex Abrines","SG"
"Steven Adams","C"
"Alex Caruso","SG"
"Semaj Christon","PG"
"Nick Collison","PF"
"Daniel Hamilton","SF"
"Josh Huestis","SG"
"Ersan Ilyasova","C"
"Enes Kanter","C"
"Joffrey Lauvergne","C"
"Anthony Morrow","SG"
"Victor Oladipo","PG"
"Cameron Payne","SG"
"Ronnie Price","PG"
"Andre Roberson","SF"
"Domantas Sabonis","C"
"Kyle Singler","SF"
"Russell Westbrook","PG"
"Al-Farouq Aminu","PF"
"Pat Connaughton","SF"
"Allen Crabbe","SF"
"Ed Davis","C"
"Maurice Harkless","PF"
"Jake Layman","PF"
"Meyers Leonard","C"
"Damian Lillard","PG"
"C.J. McCollum","SG"
"Luis Montero","SG"
"Shabazz Napier","SG"
"Mason Plumlee","C"
"Evan Turner","SF"
"Noah Vonleh","C"
"Joel Bolomboy","PF"
"Alec Burks","SG"
"Dante Exum","SG"
"Derrick Favors","C"
"Rudy Gobert","C"
"Gordon Hayward","PF"
"George Hill","PG"
"Rodney Hood","SG"
"Joe Ingles","PF"
"Chris Johnson","SG"
"Joe Johnson","SF"
"Trey Lyles","C"
"Shelvin Mack","PG"
"Raul Neto","PG"
"Marcus Paige","PG"
"Tyrone Wallace","PG"
"Jeff Withey","C"
"Ian Clark","SG"
"Stephen Curry","PG"
"Kevin Durant","SF"
"Draymond Green","C"
"Andre Iguodala","SG"
"Damian Jones","C"
"Shaun Livingston","PG"
"Kevon Looney","C"
"James Michael McAdoo","SF"
"Patrick McCaw","SF"
"JaVale McGee","C"
"Zaza Pachulia","C"
"Klay Thompson","SG"
"David West","PF"
"Alan Anderson","SG"
"Jamal Crawford","SF"
"Raymond Felton","PG"
"Blake Griffin","PF"
"Brice Johnson","PF"
"Wesley Johnson","SF"
"DeAndre Jordan","C"
"Luc Richard Mbah a Moute","PF"
"Xavier Munford","PG"
"Chris Paul","PG"
"JJ Redick","SF"
"Austin Rivers","SG"
"Marreese Speights","PF"
"Diamond Stone","C"
"Tarik Black","PF"
"Anthony Brown","SF"
"Jose Calderon","PG"
"Jordan Clarkson","SF"
"Luol Deng","SF"
"Brandon Ingram","PF"
"Timofey Mozgov","C"
"Larry Nance Jr.","C"
"Julius Randle","C"
"Thomas Robinson","PF"
"D'Angelo Russell","PG"
"Travis Wear","PF"
"Louis Williams","SG"
"Nick Young","SG"
"Ivica Zubac","C"
"Dragan Bender","C"
"Eric Bledsoe","PG"
"Devin Booker","SG"
"Tyson Chandler","C"
"Marquese Chriss","C"
"Jared Dudley","PF"
"Archie Goodwin","SG"
"Shaquille Harrison","SF"
"John Jenkins","SG"
"Derrick Jones","PF"
"Brandon Knight","SG"
"Alex Len","C"
"P.J. Tucker","C"
"Tyler Ulis","PG"
"T.J. Warren","PF"
"Alan Williams","PF"
"Arron Afflalo","SG"
"Matt Barnes","SF"
"Omri Casspi","SF"
"Willie Cauley-Stein","C"
"Darren Collison","PG"
"DeMarcus Cousins","C"
"Rudy Gay","PF"
"Kosta Koufos","C"
"Skal Labissiere","C"
"Ty Lawson","PG"
"Ben McLemore","SF"
"Georgios Papagiannis","C"
"Malachi Richardson","SG"
"Garrett Temple","SF"
"Anthony Tolliver","C"
"Quincy Acy","SF"
"Justin Anderson","PF"
"J.J. Barea","SG"
"Harrison Barnes","PF"
"Andrew Bogut","C"
"Nicolas Brussino","SF"
"Kyle Collinsworth","SG"
"Seth Curry","SG"
"Dorian Finney-Smith","PF"
"Jonathan Gibson","SG"
"A.J. Hammons","C"
"Devin Harris","PG"
"Wesley Matthews","SF"
"Salah Mejri","C"
"Dirk Nowitzki","PF"
"Dwight Powell","C"
"C.J. Williams","SG"
"Deron Williams","PG"
"Ryan Anderson","C"
"Trevor Ariza","PF"
"Patrick Beverley","PG"
"Corey Brewer","SG"
