"pick_rank","player_name","year"
"33","Will Solomon","2001"
"34","Terence Morris","2001"
"35","Brian Scalabrine","2001"
"36","Jeff Trepagnier","2001"
"37","Damone Brown","2001"
"38","Mehmet Okur","2001"
"39","Michael Wright","2001"
"40","Earl Watson","2001"
"41","Jamison Brewer","2001"
"42","Bobby Simmons","2001"
"43","Eric Chenowith","2001"
"44","Kyle Hill","2001"
"45","Sean Lampley","2001"
"46","Loren Woods","2001"
"47","Ousmane Cisse","2001"
"48","Antonis Fotsis","2001"
"49","Ken Johnson","2001"
"50","Ruben Boumtje-Boumtje","2001"
"51","Alton Ford","2001"
"52","Andre Hutson","2001"
"53","Jarron Collins","2001"
"54","Kenny Satterfield","2001"
"55","Maurice Jeffers","2001"
"56","Robertas Javtokas","2001"
"57","Alvin Jones","2001"
"58","Bryan Bracey","2001"
"1","Yao Ming","2002"
"2","Jay Williams","2002"
"3","Mike Dunleavy","2002"
"4","Drew Gooden","2002"
"5","Nikoloz Tskitishvili","2002"
"6","Dajuan Wagner","2002"
"7","Nenê Hilário","2002"
"8","Chris Wilcox","2002"
"9","Amar'e Stoudemire","2002"
"10","Caron Butler","2002"
"11","Jared Jeffries","2002"
"12","Melvin Ely","2002"
"13","Marcus Haislip","2002"
"14","Fred Jones","2002"
"15","Boštjan Nachbar","2002"
"16","Jiří Welsch","2002"
"17","Juan Dixon","2002"
"18","Curtis Borchardt","2002"
"19","Ryan Humphrey","2002"
"20","Kareem Rush","2002"
"21","Qyntel Woods","2002"
"22","Casey Jacobsen","2002"
"23","Tayshaun Prince","2002"
"24","Nenad Krstić","2002"
"25","Frank Williams","2002"
"26","John Salmons","2002"
"27","Chris Jefferies","2002"
"28","Dan Dickau","2002"
"30","Steve Logan","2002"
"31","Roger Mason","2002"
"32","Robert Archibald","2002"
"33","Vincent Yarbrough","2002"
"34","Dan Gadzuric","2002"
"35","Carlos Boozer","2002"
"36","Milos Vujanic","2002"
"37","David Andersen","2002"
"38","Tito Maddox","2002"
"39","Rod Grizzard","2002"
"40","Juan Carlos Navarro","2002"
"41","Mario Kasun","2002"
"42","Ronald Murray","2002"
"43","Jason Jennings","2002"
"44","Lonny Baxter","2002"
"45","Sam Clancy","2002"
"46","Matt Barnes","2002"
"47","Jamal Sampson","2002"
"48","Chris Owens","2002"
"49","Peter Fehse","2002"
"50","Darius Songaila","2002"
"51","Federico Kammerichs","2002"
"52","Marcus Taylor","2002"
"53","Rasual Butler","2002"
"54","Tamar Slay","2002"
"55","Mladen Sekularac","2002"
"56","Luis Scola","2002"
"57","Randy Holcomb","2002"
"58","Corsley Edwards","2002"
"1","LeBron James","2003"
"2","Darko Miličić","2003"
"3","Carmelo Anthony","2003"
"4","Chris Bosh","2003"
"5","Dwyane Wade","2003"
"6","Chris Kaman","2003"
"7","Kirk Hinrich","2003"
"8","T.J. Ford","2003"
"9","Mike Sweetney","2003"
"10","Jarvis Hayes","2003"
"11","Mickaël Piétrus","2003"
"12","Nick Collison","2003"
"13","Marcus Banks","2003"
"14","Luke Ridnour","2003"
"15","Reece Gaines","2003"
"16","Troy Bell","2003"
"17","Žarko Čabarkapa","2003"
"18","David West","2003"
"19","Sasha Pavlović","2003"
"20","Dahntay Jones","2003"
"21","Boris Diaw","2003"
"22","Zoran Planinić","2003"
"23","Travis Outlaw","2003"
"24","Brian Cook","2003"
"25","Carlos Delfino","2003"
"26","Ndudi Ebi","2003"
"27","Kendrick Perkins","2003"
"28","Leandro Barbosa","2003"
"29","Josh Howard","2003"
"30","Maciej Lampe","2003"
"31","Jason Kapono","2003"
"32","Luke Walton","2003"
"33","Jerome Beasley","2003"
"34","Sofoklis Schortsanitis","2003"
"35","Szymon Szewczyk","2003"
"36","Mario Austin","2003"
"37","Travis Hansen","2003"
"38","Steve Blake","2003"
"39","Slavko Vraneš","2003"
"40","Derrick Zimmerman","2003"
"41","Willie Green","2003"
"42","Zaza Pachulia","2003"
"43","Keith Bogans","2003"
"44","Malick Badiane","2003"
"45","Matt Bonner","2003"
"46","Sani Bečirovič","2003"
"47","Mo Williams","2003"
"48","James Lang","2003"
"49","James Jones","2003"
"50","Paccelis Morlende","2003"
"51","Kyle Korver","2003"
"52","Remon Van de Hare","2003"
"53","Tommy Smith","2003"
"54","Nedžad Sinanović","2003"
"55","Rick Rickert","2003"
"56","Brandon Hunter","2003"
"57","Xue Yuyang","2003"
"58","Andreas Glyniadakis","2003"
"1","Dwight Howard","2004"
"2","Emeka Okafor","2004"
"3","Ben Gordon","2004"
"4","Shaun Livingston","2004"
"5","Devin Harris","2004"
"6","Josh Childress","2004"
"7","Luol Deng","2004"
"8","Rafael Araújo","2004"
"9","Andre Iguodala","2004"
"10","Luke Jackson","2004"
"11","Andris Biedriņš","2004"
"12","Robert Swift","2004"
"13","Sebastian Telfair","2004"
"14","Kris Humphries","2004"
"15","Al Jefferson","2004"
"16","Kirk Snyder","2004"
"17","Josh Smith","2004"
"18","J.R. Smith","2004"
"19","Dorell Wright","2004"
"20","Jameer Nelson","2004"
"21","Pavel Podkolzin","2004"
"22","Viktor Khryapa","2004"
"23","Sergei Monia","2004"
"24","Delonte West","2004"
"25","Tony Allen","2004"
"26","Kevin Martin","2004"
"27","Sasha Vujačić","2004"
"28","Beno Udrih","2004"
"29","David Harrison","2004"
"30","Anderson Varejão","2004"
"31","Jackson Vroman","2004"
"32","Peter John Ramos","2004"
"33","Lionel Chalmers","2004"
"34","Donta Smith","2004"
"35","Andre Emmett","2004"
"36","Antonio Burks","2004"
"37","Royal Ivey","2004"
"38","Chris Duhon","2004"
"39","Albert Miralles","2004"
"40","Justin Reed","2004"
"41","David Young","2004"
"42","Viktor Sanikidze","2004"
"43","Trevor Ariza","2004"
"44","Tim Pickett","2004"
"45","Bernard Robinson","2004"
"46","Ha Seung-Jin","2004"
"47","Pape Sow","2004"
"48","Ricky Minard","2004"
"49","Sergei Lishouk","2004"
"50","Vassilis Spanoulis","2004"
"51","Christian Drejer","2004"
"52","Romain Sato","2004"
"53","Matt Freije","2004"
"54","Rickey Paulding","2004"
"55","Luis Flores","2004"
"56","Marcus Douthit","2004"
"57","Sergei Karaulov","2004"
"58","Blake Stepp","2004"
"59","Rashad Wright","2004"
"1","Andrew Bogut","2005"
